t_s	fix	sign	ink	avg	hud	route_kmh	cum_m	lat,lon	event
10	10	0	0.0000	0	1	47	151	50.90402,4.77084	HUD-ON
96	94	1	0.1348	0	1	44	1241	50.90780,4.76049	SIGN-ON
368	360	0	0.0000	0	0	0	3868	50.90292,4.72623	SIGN-CLEARED+HUD-FADED
376	368	1	0.1348	0	1	20	3873	50.90291,4.72616	SIGN-ON+HUD-ON
404	395	0	0.0000	0	0	0	4038	50.90315,4.72399	SIGN-CLEARED+HUD-FADED
444	434	1	0.1348	0	1	20	4043	50.90319,4.72395	SIGN-ON+HUD-ON
484	473	0	0.0000	0	1	31	4328	50.90366,4.72094	SIGN-CLEARED
488	477	1	0.1348	0	1	29	4361	50.90352,4.72053	SIGN-ON
508	497	1	0.1233	0	1	39	4485	50.90413,4.71993	SIGN-VALUE-CHANGED
556	544	1	0.1772	0	1	40	5070	50.90784,4.71477	SIGN-VALUE-CHANGED
666	651	0	0.0000	0	1	82	8609	50.88829,4.67569	SIGN-CLEARED
688	673	0	0.0000	0	0	0	8940	50.88578,4.67317	HUD-FADED
700	685	0	0.0000	0	1	20	8950	50.88569,4.67311	HUD-ON
714	698	0	0.0000	0	0	0	9026	50.88523,4.67359	HUD-FADED
720	704	0	0.0000	0	1	20	9029	50.88522,4.67364	HUD-ON
