elapsed_ms	fix	expected_kmh	map_rmse
2004	2	57.2	0.0242231
4004	4	53.4	0.0272674
6004	6	53.8	0.0279732
8003	8	50.6	0.0199209
10004	10	47.1	0.0355347
12004	12	50.8	0.0365418
14003	14	46.3	0.0357115
16003	16	25.6	0.0362026
18004	18	25.6	0.0395284
20004	20	22.6	0.0379379
22004	22	22.9	0.034884
24004	23	23.0	0.0318446
26004	25	45.4	0.0383102
28004	27	45.6	0.0428821
30004	29	48.0	0.0399253
32003	31	30.3	0.0405807
34003	33	32.3	0.0426825
36003	35	32.3	0.0440288
38004	37	50.2	0.0334124
40004	39	53.6	0.0385535
42003	41	55.8	0.0339095
44004	43	56.2	0.0271487
46003	45	57.0	0.0265594
48003	47	54.7	0.0263578
50004	49	56.9	0.0244759
52003	51	56.4	0.0233274
54003	53	56.6	0.0241114
56004	55	59.3	0.0248487
58003	57	54.9	0.0218653
60003	59	55.7	0.0205425
62003	61	56.3	0.0198148
64003	63	55.8	0.0183569
66003	65	54.2	0.0141257
68004	67	56.1	0.0131266
70003	68	56.0	0.0168265
72003	70	48.6	0.0239779
74004	72	47.0	0.0266104
76004	74	41.7	0.036441
78004	76	44.0	0.0410444
80003	78	44.0	0.038152
82003	80	48.5	0.0334834
84004	82	49.4	0.0350852
86003	84	51.2	0.0374826
88004	86	50.9	0.0365961
90004	88	50.4	0.0334195
92004	90	48.4	0.024397
94004	92	46.7	0.0239304
96004	94	44.4	0.0222516
98003	96	41.6	0.0259694
100004	98	41.6	0.027674
102004	100	41.2	0.0331498
104003	102	41.9	0.0339618
106003	104	42.2	0.0236576
108004	106	43.4	0.0234718
110003	108	43.8	0.0294352
112003	110	43.9	0.0140148
114004	112	44.3	0.0288072
116004	113	44.2	0.0334409
118004	115	44.0	0.025711
120003	117	43.3	0.0273604
122003	119	43.3	0.0282915
124003	121	30.8	0.0278758
126004	123	35.8	0.0266171
128004	125	35.8	0.0262479
130004	127	43.1	0.026695
132004	129	41.7	0.0330963
134004	131	41.5	0.0342492
136003	133	39.1	0.0350564
138004	135	38.1	0.0304844
140004	137	38.1	0.0244253
142004	139	38.8	0.0196868
144004	141	40.1	0.018059
146004	143	40.1	0.0197443
148004	145	40.1	0.0205622
150003	147	41.4	0.0208741
152004	149	41.3	0.0220129
154003	151	40.9	0.0289224
156003	153	40.5	0.0383572
158004	155	40.5	0.0387773
160004	156	39.8	0.0263566
162004	158	40.0	0.0256543
164004	160	40.0	0.0311961
166004	162	39.3	0.0315687
168003	164	39.3	0.031797
170003	166	38.7	0.036969
172004	168	38.7	0.0255047
174004	170	38.6	0.0218051
176004	172	38.1	0.01848
178004	174	37.9	0.0287949
180004	176	38.2	0.0294427
182004	178	39.6	0.0245229
184003	180	40.2	0.0260147
186004	182	40.2	0.0308822
188003	184	40.4	0.0341703
190004	186	41.0	0.0354066
192003	188	41.2	0.0304324
194004	190	43.1	0.0295395
196004	192	43.8	0.0332886
198004	194	43.8	0.0333941
200004	196	42.9	0.0418198
202003	198	41.2	0.0416766
204004	200	41.5	0.027819
206003	201	41.2	0.0317181
208004	203	41.2	0.0360937
210004	205	42.2	0.0141152
212003	207	42.6	0.0335541
214003	209	42.4	0.0387028
216003	211	42.1	0.0314607
218003	213	42.0	0.0313397
220004	215	42.0	0.0325654
222004	217	41.1	0.0300514
224004	219	40.8	0.0282122
226004	221	40.8	0.0349509
228003	223	40.9	0.0305801
230003	225	39.6	0.0378511
232004	227	39.6	0.0272782
234004	229	39.1	0.0255824
236003	231	37.4	0.0299849
238004	233	37.4	0.0312324
240003	235	34.7	0.0249693
242003	237	15.2	0.0247721
244004	239	15.2	0.0266382
246004	241	14.9	0.0291828
248004	243	32.3	0.0300256
250003	245	31.9	0.0379257
252004	246	38.0	0.0416477
254004	248	37.6	0.0331983
256003	250	37.5	0.0322021
258004	252	39.1	0.0406577
260003	254	39.1	0.0291077
262004	256	41.9	0.0290266
264004	258	42.3	0.0269095
266004	260	42.3	0.031873
268004	262	39.6	0.0327774
270003	264	38.2	0.0287668
272004	266	38.2	0.0284777
274003	268	36.6	0.029575
276003	270	32.4	0.0262933
278004	272	32.5	0.025534
280003	274	29.7	0.0252071
282003	276	29.5	0.0233218
284003	278	26.0	0.0383146
286003	280	26.3	0.030919
288004	282	27.7	0.0341385
290003	284	27.5	0.0306806
292004	286	29.2	0.0294603
294004	288	29.2	0.0330762
296004	290	29.3	0.0333016
298004	291	28.9	0.0345447
300003	293	26.4	0.0352726
302004	295	26.0	0.024434
304004	297	27.3	0.0222686
306004	299	27.3	0.0204876
308004	301	28.3	0.0197767
310004	303	28.3	0.0194549
312004	305	27.5	0.020287
314004	307	27.4	0.0200944
316004	309	27.7	0.0330984
318003	311	27.6	0.0335192
320004	313	28.1	0.0329595
322003	315	28.1	0.0340631
324003	317	27.3	0.0237351
326003	319	27.3	0.0277792
328003	321	29.1	0.0332361
330004	323	29.3	0.0228493
332003	325	29.8	0.0274046
334003	327	29.8	0.0275116
336004	329	27.1	0.0187188
338003	331	27.3	0.0276563
340003	333	29.5	0.0218614
342004	335	29.7	0.024616
344003	336	29.6	0.0160808
346004	338	30.3	0.0123779
348003	340	30.3	0.0163651
350004	342	31.5	0.0261478
352004	344	30.3	0.0266026
354004	346	30.0	0.0257877
356004	348	28.0	0.0262862
358004	350	28.0	0.0232524
360004	352	28.3	0.0315021
362003	354	28.3	0.034739
364003	356	27.3	0.0342987
366003	358	27.3	0.0364792
368003	360	0.0	0.0314399
370003	362	0.0	0.0344028
372004	364	0.0	0.0128199
374004	366	0.0	0.0340694
376003	368	20.1	0.0327
378004	370	20.1	0.0348508
380004	372	24.8	0.0325146
382004	374	24.8	0.0336722
384003	376	27.5	0.0105869
386004	378	27.5	0.0330909
388003	380	24.6	0.0342371
390004	381	24.6	0.0243369
392004	383	24.6	0.03081
394003	385	22.3	0.0328346
396003	387	22.3	0.0346416
398004	389	16.0	0.0346704
400003	391	16.0	0.0336429
402003	393	15.7	0.0277108
404003	395	0.0	0.0373258
406003	397	0.0	0.0102951
408004	399	0.0	0.027076
410003	401	0.0	0.0366229
412004	403	0.0	0.0113838
414004	405	0.0	0.0318613
416003	407	0.0	0.0324822
418004	409	0.0	0.0364528
420004	411	0.0	0.036908
422004	413	0.0	0.0113266
424004	415	0.0	0
426003	417	0.0	0
428004	419	0.0	0
430003	421	0.0	0
432004	423	0.0	0
434004	424	0.0	0
436004	426	0.0	0.0305881
438004	428	0.0	0.0374045
440004	430	0.0	0.0433281
442003	432	0.0	0.0436999
444004	434	19.9	0.0360238
446004	436	19.9	0.0385696
448003	438	30.0	0.0357783
450003	440	30.2	0.0341004
452004	442	34.7	0.0343182
454003	444	34.8	0.0324646
456004	446	34.5	0.0290392
458003	448	28.5	0.0331361
460004	450	28.4	0.0388228
462004	452	11.9	0.0285022
464004	454	11.9	0.0453343
466004	456	11.9	0.0436544
468004	458	11.9	0.0402014
470004	460	30.9	0.0407503
472003	462	30.9	0.0418489
474004	464	32.1	0.0382211
476004	466	31.4	0.0420105
478003	468	31.4	0.0362237
480004	469	31.8	0.0332578
482003	471	31.8	0.0339676
484004	473	30.6	0.0343799
486004	475	28.7	0.0359591
488003	477	28.7	0.0386072
490004	479	12.4	0.0347573
492003	481	12.4	0.0360042
494003	483	12.4	0.0480763
496004	485	12.1	0.0498179
498004	487	20.8	0.0423356
500004	489	20.8	0.0473517
502004	491	20.8	0.0505776
504004	493	36.2	0.0306405
506003	495	39.3	0.0391222
508004	497	39.3	0.0447728
510004	499	41.2	0.0334503
512003	501	41.4	0.0362306
514003	503	41.4	0.0355706
516004	505	39.2	0.0376437
518004	507	37.6	0.0361472
520003	509	37.9	0.0381877
522004	511	40.3	0.0385751
524004	513	47.3	0.0470259
526003	514	47.3	0.0358889
528004	516	59.6	0.0294863
530004	518	57.6	0.0335838
532003	520	55.1	0.028299
534003	522	52.9	0.0254609
536003	524	50.6	0.0265356
538004	526	49.2	0.0370494
540003	528	48.3	0.0408095
542004	530	44.9	0.0375013
544003	532	47.8	0.0385992
546003	534	47.8	0.0310419
548004	536	42.3	0.0453577
550004	538	42.3	0.0526463
552004	540	30.5	0.0528528
554004	542	40.4	0.0524052
556004	544	40.4	0.0584052
558003	546	66.7	0.0425044
560004	548	90.9	0.0390711
562003	550	114.7	0.0449258
564003	552	124.9	0.0311655
566004	554	121.9	0.0318547
568004	556	119.5	0.0289587
570004	558	115.5	0.0258556
572003	559	114.5	0.0271431
574004	561	111.5	0.0314214
576004	563	110.2	0.0344122
578003	565	111.0	0.0347893
580003	567	113.8	0.0337657
582004	569	117.3	0.0302843
584003	571	118.8	0.0248995
586004	573	119.0	0.0245363
588004	575	121.5	0.0223107
590003	577	124.1	0.0222542
592003	579	125.7	0.0304232
594004	581	126.3	0.0298871
596004	583	126.9	0.0172209
598003	585	126.6	0.0160939
600004	587	127.1	0.0165073
602003	589	128.7	0.0204453
604004	591	129.9	0.0266163
606003	593	131.0	0.0352024
608003	595	131.9	0.0257634
610004	597	131.5	0.0301556
612003	599	132.2	0.0317143
614004	601	131.0	0.0243721
616004	603	131.3	0.0227437
618003	604	129.9	0.0193663
620004	606	130.2	0.0162697
622004	608	130.6	0.0311654
624004	610	130.0	0.0262575
626004	612	129.6	0.0255046
628004	614	129.5	0.0307262
630003	616	128.2	0.0290927
632003	618	129.5	0.027172
634004	620	128.4	0.0238036
636004	622	128.4	0.0188127
638004	624	128.4	0.0267891
640003	626	128.6	0.0244829
642004	628	128.2	0.0250625
644003	630	125.8	0.0256788
646003	632	125.4	0.0333822
648003	634	121.8	0.030668
650004	636	119.1	0.0115838
652003	638	112.8	0.0118648
654003	640	107.2	0.0177388
656004	642	101.5	0.013243
658003	644	101.2	0.027411
660003	646	97.6	0.0297497
662004	648	92.0	0.0200849
664003	649	87.7	0.0236967
666004	651	82.1	0.0243049
668004	653	79.2	0.0272071
670003	655	75.7	0.0280974
672003	657	71.3	0.0371564
674003	659	64.6	0.0383752
676003	661	57.6	0.041175
678003	663	50.9	0.0285991
680004	665	42.1	0.0344485
682004	667	42.4	0.0459856
684003	669	26.1	0.0474475
686003	671	26.0	0.0509548
688003	673	0.0	0.0542531
690004	675	0.0	0.0578581
692003	677	0.0	0.0496199
694004	679	0.0	0.0352116
696003	681	0.0	0.0129752
698004	683	17.1	0.063494
700004	685	19.9	0.0442132
702004	687	19.8	0.0466811
704003	689	27.5	0.0609433
706003	691	27.1	0.0606082
708003	692	25.5	0.0491767
710004	694	25.1	0.0469559
712004	696	0.0	0.0561893
714004	698	0.0	0.0552361
716004	700	0.0	0.0377703
718004	702	0.0	0.0228057
720004	704	19.8	0.0468532
722004	706	20.0	0.00790899
724004	708	27.6	0.0430651
726003	710	27.5	0.0532955
728004	712	40.8	0.0527055
730003	714	40.6	0.0548714
732004	716	44.0	0.041363
734004	718	47.3	0.0371902
736003	720	47.4	0.0434226
738004	722	45.7	0.0368273
740004	724	42.8	0.0323337
742004	726	42.8	0.0282701
744004	728	41.9	0.0277484
746004	730	45.9	0.028335
748003	732	46.6	0.0353317
750003	734	47.2	0.0316825
752004	736	48.3	0.0297926
754004	737	48.7	0.0268973
756004	739	48.8	0.0137279
758004	741	49.0	0.0232265
760004	743	48.4	0.0225498
762003	745	48.0	0.022297
764003	747	47.6	0.0235898
