t_s	fix	sign	hud	route_kmh	cum_m	lat,lon	event
11	11	0	1	47	164	50.90409,4.77069	HUD-ON
94	93	1	1	44	1228	50.90780,4.76066	SIGN-ON
367	361	0	0	0	3868	50.90292,4.72623	HUD-FADED+SIGN-CLEARED
377	371	1	1	0	3895	50.90289,4.72584	HUD-ON+SIGN-ON
404	398	0	0	0	4038	50.90315,4.72399	HUD-FADED+SIGN-CLEARED
444	437	1	1	0	4065	50.90334,4.72374	HUD-ON+SIGN-ON
687	677	0	0	0	8940	50.88578,4.67317	HUD-FADED+SIGN-CLEARED
701	690	1	1	27	8982	50.88544,4.67311	HUD-ON+SIGN-ON
711	700	0	0	0	9026	50.88523,4.67359	HUD-FADED+SIGN-CLEARED
721	710	1	1	27	9066	50.88512,4.67414	HUD-ON+SIGN-ON
776	761	0	0	0	9704	50.88304,4.68253	HUD-FADED+SIGN-CLEARED
782	-1	1	1	?	?	-	HUD-ON+SIGN-ON
789	-1	0	0	?	?	-	HUD-FADED+SIGN-CLEARED
796	-1	1	1	?	?	-	HUD-ON+SIGN-ON
799	-1	0	0	?	?	-	HUD-FADED+SIGN-CLEARED
