elapsed_ms	fix	expected_kmh	map_rmse
3362	4	53.4	0.022188
6705	7	54.0	0.016207
10072	11	47.1	0.024719
13407	14	46.3	0.025509
16729	17	25.6	0.038216
20065	20	22.6	0.034470
23397	24	22.9	0.023513
26736	27	45.6	0.038894
30059	30	30.3	0.033995
33429	34	32.2	0.028783
36750	37	50.2	0.018846
40101	40	53.9	0.032773
43475	44	56.0	0.029393
46817	47	54.7	0.023521
50188	50	56.9	0.032383
53542	53	56.6	0.028580
56915	57	54.9	0.022177
60278	60	55.3	0.031586
63659	63	55.8	0.028148
67003	67	56.1	0.020261
70380	70	48.6	0.032807
73731	73	41.9	0.030072
77101	77	44.0	0.026344
80440	80	48.5	0.026091
83764	83	51.0	0.033410
87080	86	50.9	0.031503
90439	90	48.4	0.018314
93761	93	44.4	0.037175
97099	96	41.6	0.033522
100408	100	41.2	0.023886
103727	103	42.2	0.037573
107082	106	43.4	0.034269
110406	109	43.8	0.025138
113703	113	44.2	0.021404
117020	116	44.0	0.050006
120373	119	43.3	0.049952
123736	123	35.8	0.027193
127084	126	43.4	0.035604
130432	129	41.7	0.030411
133800	132	39.5	0.028551
137080	136	37.9	0.020585
140403	139	38.8	0.036387
143758	142	40.3	0.033373
147127	146	40.3	0.024694
150534	149	41.3	0.018347
153849	152	40.8	0.031612
157156	155	40.5	0.028661
160471	159	40.0	0.019625
163766	162	39.3	0.023452
167099	165	38.5	0.033280
170423	168	38.7	0.027768
173772	172	38.1	0.037225
177105	175	38.2	0.029742
180385	178	39.6	0.031085
183715	181	39.8	0.021739
186992	185	40.4	0.025497
190317	188	41.2	0.041228
193620	191	43.0	0.041443
196926	194	43.8	0.034137
200253	198	41.2	0.040826
203552	201	41.2	0.040565
206874	204	42.2	0.034356
210210	208	42.4	0.041410
213500	211	42.1	0.041632
216846	214	41.9	0.036190
220151	217	41.1	0.051034
223462	221	40.8	0.051180
226860	224	40.9	0.039965
230198	227	39.6	0.033442
233554	230	38.8	0.038338
236885	234	34.5	0.040884
240203	237	15.2	0.041119
243562	240	15.2	0.038843
246885	244	32.3	0.042506
250198	247	37.7	0.042144
253538	250	37.5	0.033539
256911	253	38.9	0.030333
260259	257	41.9	0.022597
263655	260	42.3	0.032385
266966	263	39.9	0.040787
270304	267	36.4	0.046129
273620	270	32.4	0.035790
276941	273	29.7	0.050058
280260	277	26.3	0.050298
283579	280	26.3	0.020068
286919	283	27.5	0.049823
290238	286	29.2	0.050246
293558	290	29.3	0.024534
296888	293	26.4	0.036927
300242	296	26.2	0.033841
303569	299	27.3	0.046040
306863	303	28.3	0.046295
310204	306	27.8	0.035457
313534	309	27.7	0.041383
316815	312	27.7	0.041937
320126	316	28.1	0.020001
323446	319	27.3	0.050667
326747	322	29.1	0.050663
330052	325	29.8	0.029754
333377	329	27.1	0.037218
336711	332	27.4	0.032085
340011	335	29.7	0.030921
343340	339	30.2	0.047291
346656	342	31.5	0.047607
350027	345	29.9	0.030346
