frame	elapsed_ms	fix	route_kmh	sign_red	dial_ink	map_mean	map_sd	map_rmse
00000	0	1	57.0	0.0000	0.0000	0.5479	0.0229	
00001	3362	4	53.4	0.0000	0.0000	0.5392	0.0245	0.022188
00002	6705	7	54.0	0.0000	0.0000	0.5382	0.0245	0.016207
00003	10072	11	47.1	0.0000	0.0661	0.5384	0.0250	0.024719
00004	13407	14	46.3	0.0000	0.0661	0.5405	0.0254	0.025509
00005	16729	17	25.6	0.0000	0.0771	0.5431	0.0248	0.038216
00006	20065	20	22.6	0.0000	0.0821	0.5457	0.0235	0.034470
00007	23397	24	22.9	0.0000	0.0766	0.5474	0.0231	0.023513
00008	26736	27	45.6	0.0000	0.0772	0.5444	0.0239	0.038894
00009	30059	30	30.3	0.0000	0.0815	0.5422	0.0239	0.033995
00010	33429	34	32.2	0.0000	0.0639	0.5417	0.0239	0.028783
00011	36750	37	50.2	0.0000	0.0766	0.5433	0.0240	0.018846
00012	40101	40	53.9	0.0000	0.0793	0.5399	0.0248	0.032773
00013	43475	44	56.0	0.0000	0.0848	0.5388	0.0247	0.029393
00014	46817	47	54.7	0.0000	0.0706	0.5384	0.0247	0.023521
00015	50188	50	56.9	0.0000	0.0848	0.5381	0.0246	0.032383
00016	53542	53	56.6	0.0000	0.0706	0.5381	0.0246	0.028580
00017	56915	57	54.9	0.0000	0.0848	0.5382	0.0245	0.022177
00018	60278	60	55.3	0.0000	0.0815	0.5383	0.0243	0.031586
00019	63659	63	55.8	0.0000	0.0848	0.5383	0.0243	0.028148
00020	67003	67	56.1	0.0000	0.0771	0.5383	0.0242	0.020261
00021	70380	70	48.6	0.0000	0.0787	0.5389	0.0243	0.032807
00022	73731	73	41.9	0.0000	0.0663	0.5428	0.0241	0.030072
00023	77101	77	44.0	0.0000	0.0744	0.5431	0.0240	0.026344
00024	80440	80	48.5	0.0000	0.0771	0.5428	0.0240	0.026091
00025	83764	83	51.0	0.0000	0.0805	0.5425	0.0239	0.033410
00026	87080	86	50.9	0.0000	0.0661	0.5384	0.0244	0.031503
00027	90439	90	48.4	0.0000	0.0661	0.5390	0.0244	0.018314
00028	93761	93	44.4	0.0565	0.0673	0.5424	0.0242	0.037175
00029	97099	96	41.6	0.0573	0.0781	0.5427	0.0242	0.033522
00030	100408	100	41.2	0.0573	0.0754	0.5427	0.0243	0.023886
00031	103727	103	42.2	0.0573	0.0627	0.5427	0.0242	0.037573
00032	107082	106	43.4	0.0573	0.0760	0.5426	0.0242	0.034269
00033	110406	109	43.8	0.0573	0.0738	0.5425	0.0243	0.025138
00034	113703	113	44.2	0.0573	0.0738	0.5425	0.0243	0.021404
00035	117020	116	44.0	0.0573	0.0760	0.5441	0.0241	0.050006
00036	120373	119	43.3	0.0573	0.0760	0.5426	0.0242	0.049952
00037	123736	123	35.8	0.0573	0.0639	0.5424	0.0243	0.027193
00038	127084	126	43.4	0.0573	0.0837	0.5426	0.0243	0.035604
00039	130432	129	41.7	0.0573	0.0760	0.5424	0.0242	0.030411
00040	133800	132	39.5	0.0573	0.0754	0.5424	0.0242	0.028551
00041	137080	136	37.9	0.0573	0.0837	0.5424	0.0242	0.020585
00042	140403	139	38.8	0.0573	0.0847	0.5425	0.0242	0.036387
00043	143758	142	40.3	0.0573	0.0803	0.5424	0.0241	0.033373
00044	147127	146	40.3	0.0573	0.0803	0.5424	0.0242	0.024694
00045	150534	149	41.3	0.0573	0.0754	0.5426	0.0242	0.018347
00046	153849	152	40.8	0.0573	0.0627	0.5425	0.0242	0.031612
00047	157156	155	40.5	0.0573	0.0627	0.5425	0.0242	0.028661
00048	160471	159	40.0	0.0573	0.0803	0.5425	0.0242	0.019625
00049	163766	162	39.3	0.0573	0.0803	0.5428	0.0245	0.023452
00050	167099	165	38.5	0.0573	0.0837	0.5428	0.0246	0.033280
00051	170423	168	38.7	0.0573	0.0837	0.5428	0.0247	0.027768
00052	173772	172	38.1	0.0573	0.0837	0.5437	0.0245	0.037225
00053	177105	175	38.2	0.0573	0.0847	0.5429	0.0244	0.029742
00054	180385	178	39.6	0.0573	0.0837	0.5426	0.0243	0.031085
00055	183715	181	39.8	0.0573	0.0803	0.5427	0.0246	0.021739
00056	186992	185	40.4	0.0573	0.0803	0.5425	0.0247	0.025497
00057	190317	188	41.2	0.0573	0.0808	0.5316	0.0147	0.041228
00058	193620	191	43.0	0.0573	0.0760	0.5432	0.0246	0.041443
00059	196926	194	43.8	0.0573	0.0738	0.5425	0.0247	0.034137
00060	200253	198	41.2	0.0573	0.0451	0.5372	0.0159	0.040826
00061	203552	201	41.2	0.0573	0.0754	0.5428	0.0244	0.040565
00062	206874	204	42.2	0.0573	0.0627	0.5425	0.0245	0.034356
00063	210210	208	42.4	0.0573	0.0837	0.5365	0.0168	0.041410
00064	213500	211	42.1	0.0573	0.0760	0.5428	0.0246	0.041632
00065	216846	214	41.9	0.0573	0.0754	0.5428	0.0247	0.036190
00066	220151	217	41.1	0.0573	0.0627	0.5440	0.0246	0.051034
00067	223462	221	40.8	0.0573	0.0627	0.5434	0.0247	0.051180
00068	226860	224	40.9	0.0573	0.0627	0.5444	0.0250	0.039965
00069	230198	227	39.6	0.0573	0.0803	0.5445	0.0248	0.033442
00070	233554	230	38.8	0.0573	0.0837	0.5436	0.0248	0.038338
00071	236885	234	34.5	0.0573	0.0552	0.5325	0.0144	0.040884
00072	240203	237	15.2	0.0573	0.0793	0.5438	0.0249	0.041119
00073	243562	240	15.2	0.0573	0.0661	0.5465	0.0242	0.038843
00074	246885	244	32.3	0.0573	0.0661	0.5372	0.0161	0.042506
00075	250198	247	37.7	0.0573	0.0766	0.5444	0.0246	0.042144
00076	253538	250	37.5	0.0573	0.0847	0.5438	0.0246	0.033539
00077	256911	253	38.9	0.0574	0.0837	0.5437	0.0243	0.030333
00078	260259	257	41.9	0.0573	0.0754	0.5432	0.0244	0.022597
00079	263655	260	42.3	0.0573	0.0754	0.5426	0.0241	0.032385
00080	266966	263	39.9	0.0573	0.0803	0.5437	0.0243	0.040787
00081	270304	267	36.4	0.0573	0.0847	0.5429	0.0245	0.046129
00082	273620	270	32.4	0.0573	0.0694	0.5433	0.0244	0.035790
00083	276941	273	29.7	0.0573	0.0766	0.5448	0.0242	0.050058
00084	280260	277	26.3	0.0573	0.0814	0.5426	0.0243	0.050298
00085	283579	280	26.3	0.0573	0.0821	0.5459	0.0236	0.020068
00086	286919	283	27.5	0.0573	0.0679	0.5452	0.0238	0.049823
00087	290238	286	29.2	0.0573	0.0821	0.5455	0.0237	0.050246
00088	293558	290	29.3	0.0573	0.0821	0.5428	0.0243	0.024534
00089	296888	293	26.4	0.0573	0.0821	0.5437	0.0243	0.036927
00090	300242	296	26.2	0.0573	0.0821	0.5464	0.0234	0.033841
00091	303569	299	27.3	0.0573	0.0682	0.5292	0.0150	0.046040
00092	306863	303	28.3	0.0573	0.0832	0.5467	0.0234	0.046295
00093	310204	306	27.8	0.0573	0.0832	0.5470	0.0234	0.035457
00094	313534	309	27.7	0.0573	0.0760	0.5322	0.0142	0.041383
00095	316815	312	27.7	0.0573	0.0832	0.5478	0.0232	0.041937
00096	320126	316	28.1	0.0573	0.0832	0.5475	0.0234	0.020001
00097	323446	319	27.3	0.0573	0.0679	0.5451	0.0238	0.050667
00098	326747	322	29.1	0.0573	0.0822	0.5461	0.0238	0.050663
00099	330052	325	29.8	0.0573	0.0821	0.5435	0.0244	0.029754
00100	333377	329	27.1	0.0573	0.0814	0.5438	0.0243	0.037218
00101	336711	332	27.4	0.0573	0.0679	0.5463	0.0234	0.032085
00102	340011	335	29.7	0.0573	0.0814	0.5440	0.0239	0.030921
00103	343340	339	30.2	0.0573	0.0814	0.5448	0.0238	0.047291
00104	346656	342	31.5	0.0573	0.0639	0.5429	0.0240	0.047607
00105	350027	345	29.9	0.0573	0.0639	0.5429	0.0241	0.030346
00106	353368	348	28.0	0.0573	0.0821	0.5450	0.0237	0.014437
00107	356681	352	28.3	0.0573	0.0832	0.5466	0.0234	0.029702
00108	359989	355	27.6	0.0573	0.0639	0.5322	0.0142	0.040932
00109	363273	358	27.3	0.0573	0.0679	0.5470	0.0234	0.041356
00110	366593	361	0.0	0.0000	0.0000	0.5481	0.0228	0.031965
00111	369892	365	0.0	0.0000	0.0000	0.5421	0.0160	0.036963
00112	373192	368	0.0	0.0000	0.0000	0.5484	0.0227	0.036855
00113	376512	371	0.0	0.0573	0.0562	0.5462	0.0238	0.016497
00114	379838	374	24.8	0.0573	0.0788	0.5473	0.0237	0.028497
