t_s	fix	sign	ink	avg	hud	route_kmh	cum_m	lat,lon	event
10	10	0	0.0000	0	1	125	357	50.84681,4.68665	HUD-ON
548	538	0	0.0000	0	0	0	15628	50.86983,4.47418	HUD-FADED
558	548	0	0.0000	0	1	0	15655	50.86991,4.47382	HUD-ON
562	552	0	0.0000	0	0	0	15655	50.86991,4.47382	HUD-FADED
570	560	0	0.0000	0	1	20	15670	50.86995,4.47362	HUD-ON
610	599	0	0.0000	0	0	10	15786	50.87029,4.47206	HUD-FADED
612	601	0	0.0000	0	1	18	15793	50.87031,4.47195	HUD-ON
650	639	0	0.0000	0	0	0	15924	50.87069,4.47018	HUD-FADED
658	646	0	0.0000	0	1	20	15944	50.87075,4.46992	HUD-ON
762	749	0	0.0000	0	0	0	16483	50.87447,4.46541	HUD-FADED
774	760	0	0.0000	0	1	20	16497	50.87458,4.46531	HUD-ON
780	766	0	0.0000	0	0	0	16509	50.87467,4.46523	HUD-FADED
816	802	0	0.0000	0	1	14	16535	50.87488,4.46506	HUD-ON
836	821	0	0.0000	0	0	0	16593	50.87536,4.46472	HUD-FADED
852	837	0	0.0000	0	1	20	16613	50.87552,4.46460	HUD-ON
858	843	0	0.0000	0	0	0	16618	50.87556,4.46457	HUD-FADED
872	857	0	0.0000	0	1	20	16638	50.87572,4.46442	HUD-ON
886	870	0	0.0000	0	0	14	16691	50.87615,4.46412	HUD-FADED
888	872	0	0.0000	0	1	10	16698	50.87621,4.46407	HUD-ON
958	941	0	0.0000	0	0	0	16910	50.87796,4.46287	HUD-FADED
970	953	0	0.0000	0	1	9	16936	50.87817,4.46272	HUD-ON
986	969	0	0.0000	0	0	0	16962	50.87838,4.46257	HUD-FADED
