elapsed_ms	fix	expected_kmh	map_rmse
2003	2	130.9	0.0385363
4003	4	125.3	0.0300454
6003	6	127.9	0.0152904
8003	8	128.9	0.00466789
10003	10	125.2	0.0133477
12004	12	122.6	0.0154142
14003	14	123.9	0.01676
16003	16	123.8	0.0169744
18003	18	124.5	0.0192505
20003	20	123.3	0.0143125
22003	22	121.5	0.00793612
24003	24	125.7	0.00942332
26003	26	124.4	0.0154374
28003	28	123.3	0.0194147
30003	29	121.5	0.0176364
32003	31	121.9	0.0195209
34004	33	121.2	0.0186996
36003	35	123.0	0.0152489
38003	37	121.4	0.0156768
40003	39	123.6	0.0150424
42004	41	122.4	0.0149754
44004	43	122.1	0.018467
46003	45	123.1	0.0268951
48003	47	122.6	0.0202677
50003	49	122.2	0.021398
52003	51	122.4	0.0230305
54004	53	122.9	0.0175962
56004	55	120.7	0.0130412
58004	57	121.6	0.0123594
60003	59	121.5	0.0110135
62003	61	121.2	0.0158228
64004	63	123.2	0.0209553
66003	65	122.3	0.0200321
68003	67	123.3	0.0212366
70004	69	121.3	0.0244424
72004	71	122.9	0.0188326
74004	73	123.7	0.015796
76004	75	120.8	0.0211901
78004	77	123.5	0.0204431
80004	79	122.1	0.0217196
82004	81	121.5	0.0245843
84004	83	122.4	0.0188814
86004	84	121.4	0.0158364
88004	86	122.5	0.0148956
90003	88	122.4	0.017004
92003	90	123.7	0.0203234
94003	92	123.1	0.0228948
96004	94	122.9	0.0252609
98003	96	119.3	0.0222179
100004	98	123.4	0.0229998
102004	100	120.5	0.0194202
104004	102	122.5	0.0137531
106003	104	121.5	0.0125375
108003	106	123.1	0.0121083
110004	108	122.5	0.0115007
112003	110	119.8	0.0189641
114003	112	116.0	0.0196468
116003	114	111.7	0.0194099
118003	116	105.8	0.0218145
120004	118	100.8	0.0180608
122004	120	97.9	0.0185615
124004	122	96.8	0.00702794
126003	124	93.2	0.0224178
128004	126	93.4	0.0220259
130003	128	95.2	0.0206883
132004	130	95.5	0.0225235
134003	132	96.0	0.0207737
136004	134	97.4	0.032895
138003	136	97.0	0.031912
140004	138	95.9	0.0124476
142004	139	94.5	0.0129883
144003	141	94.5	0.0204372
146004	143	90.3	0.0186155
148003	145	91.6	0.0215655
150003	147	91.2	0.0197545
152004	149	92.8	0.0178725
154004	151	93.0	0.0264218
156003	153	90.7	0.0174227
158004	155	91.0	0.0237618
160004	157	90.7	0.0285862
162004	159	91.3	0.0122017
164004	161	91.1	0.019192
166004	163	89.3	0.0235907
168003	165	88.4	0.0238065
170003	167	86.9	0.0232398
172003	169	84.9	0.0285835
174003	171	82.8	0.022362
176003	173	80.9	0.0216886
178004	175	81.2	0.0226076
180003	177	77.8	0.0301008
182003	179	75.4	0.025117
184003	181	72.6	0.0267004
186003	183	71.0	0.0264435
188003	185	69.4	0.031956
190004	187	69.2	0.0412781
192004	189	69.2	0.0339305
194004	191	71.4	0.037169
196003	193	71.9	0.0309341
198003	195	70.7	0.0330044
200004	196	70.7	0.0338336
202003	198	72.0	0.0313469
204004	200	71.2	0.0329852
206003	202	71.9	0.0296534
208003	204	71.8	0.028073
210003	206	71.5	0.00636409
212003	208	74.2	0.0261093
214004	210	72.5	0.034093
216004	212	74.3	0.0199964
218003	214	76.9	0.0188299
220003	216	78.5	0.0219345
222004	218	79.7	0.0252361
224004	220	83.2	0.0224987
226003	222	85.4	0.0164583
228003	224	89.6	0.0187254
230003	226	94.7	0.03147
232004	228	94.7	0.0234456
234003	230	98.5	0.018598
236003	232	101.6	0.0211696
238004	234	103.2	0.00783326
240003	236	106.1	0.0188501
242004	238	107.8	0.0191467
244003	240	108.7	0.0186734
246004	242	107.8	0.0211693
248003	244	106.6	0.0200616
250004	246	106.4	0.0175458
252003	248	111.3	0.0214568
254004	250	113.0	0.0162753
256004	251	115.4	0.0133033
258004	253	119.9	0.0205967
260003	255	121.5	0.0195232
262004	257	123.0	0.0196355
264004	259	123.8	0.0261506
266003	261	125.6	0.0336935
268003	263	122.8	0.0279974
270004	265	125.2	0.0118653
272003	267	123.5	0.0114701
274003	269	123.2	0.0258783
276004	271	121.0	0.0212183
278003	273	124.0	0.0234853
280005	275	123.8	0.0318734
282004	277	124.1	0.0267198
284004	279	122.1	0.0229516
286003	281	122.8	0.0135713
288004	283	119.8	0.0143504
290004	285	120.7	0.0139358
292004	287	123.4	0.0143487
294003	289	122.1	0.0184408
296003	291	123.3	0.0226622
298003	293	122.2	0.0235456
300004	295	122.2	0.0243641
302003	297	123.0	0.0225734
304004	299	123.1	0.0178116
306004	301	122.4	0.023082
308003	303	122.3	0.0213476
310003	305	123.3	0.0230586
