frame	elapsed_ms	sign_red	sign_box	sign_ink	sign_sig	avg_blue	dial_ink
00000	1	0	-	0	-	0	0
00001	2003	0	-	0	-	0	0
00002	4003	0	-	0	-	0	0
00003	6003	0	-	0	-	0	0
00004	8003	0	-	0	-	0	0
00005	10003	0	-	0	-	0	0.0780952
00006	12004	0	-	0	-	0	0.0719728
00007	14003	0	-	0	-	0	0.0724943
00008	16003	0	-	0	-	0	0.0724943
00009	18003	0	-	0	-	0	0.0719728
00010	20003	0	-	0	-	0	0.0719728
00011	22003	0	-	0	-	0	0.0617234
00012	24003	0	-	0	-	0	0.0720862
00013	26003	0	-	0	-	0	0.0719728
00014	28003	0	-	0	-	0	0.0720862
00015	30003	0	-	0	-	0	0.0720862
00016	32003	0	-	0	-	0	0.0719728
00017	34004	0	-	0	-	0	0.0720862
00018	36003	0	-	0	-	0	0.0719728
00019	38003	0	-	0	-	0	0.0719728
00020	40003	0	-	0	-	0	0.0719728
00021	42004	0	-	0	-	0	0.0719728
00022	44004	0	-	0	-	0	0.0719728
00023	46003	0	-	0	-	0	0.0724943
00024	48003	0	-	0	-	0	0.0719728
00025	50003	0	-	0	-	0	0.0719728
00026	52003	0	-	0	-	0	0.0617234
00027	54004	0	-	0	-	0	0.0719728
00028	56004	0	-	0	-	0	0.0720862
00029	58004	0	-	0	-	0	0.0720862
00030	60003	0	-	0	-	0	0.0617234
00031	62003	0	-	0	-	0	0.0720862
00032	64004	0	-	0	-	0	0.0720862
00033	66003	0	-	0	-	0	0.0721995
00034	68003	0	-	0	-	0	0.0720862
00035	70004	0	-	0	-	0	0.0724943
00036	72004	0	-	0	-	0	0.0719728
00037	74004	0	-	0	-	0	0.0720862
00038	76004	0	-	0	-	0	0.0720862
00039	78004	0	-	0	-	0	0.0719728
00040	80004	0	-	0	-	0	0.0719728
00041	82004	0	-	0	-	0	0.0719728
00042	84004	0	-	0	-	0	0.0719728
00043	86004	0	-	0	-	0	0.0720862
00044	88004	0	-	0	-	0	0.0719728
00045	90003	0	-	0	-	0	0.0720862
00046	92003	0	-	0	-	0	0.0719728
00047	94003	0	-	0	-	0	0.0719728
00048	96004	0	-	0	-	0	0.0719728
00049	98003	0	-	0	-	0	0.0720862
00050	100004	0	-	0	-	0	0.0719728
00051	102004	0	-	0	-	0	0.0617234
00052	104004	0	-	0	-	0	0.0724943
00053	106003	0	-	0	-	0	0.0720862
00054	108003	0	-	0	-	0	0.0724943
00055	110004	0	-	0	-	0	0.0719728
00056	112003	0	-	0	-	0	0.0617234
00057	114003	0	-	0	-	0	0.0677324
00058	116003	0	-	0	-	0	0.0621315
00059	118003	0	-	0	-	0	0.065102
00060	120004	0	-	0	-	0	0.0754649
00061	122004	0	-	0	-	0	0.0610884
00062	124004	0	-	0	-	0	0.0457143
00063	126003	0	-	0	-	0	0.0561905
00064	128004	0	-	0	-	0	0.0564853
00065	130003	0	-	0	-	0	0.0559637
00066	132004	0	-	0	-	0	0.0509524
00067	134003	0	-	0	-	0	0.0577551
00068	136004	0	-	0	-	0	0.0564853
00069	138003	0	-	0	-	0	0.0486848
00070	140004	0	-	0	-	0	0.0486848
00071	142004	0	-	0	-	0	0.0577551
00072	144003	0	-	0	-	0	0.0561905
00073	146004	0	-	0	-	0	0.0560771
00074	148003	0	-	0	-	0	0.0457143
00075	150003	0	-	0	-	0	0.0560771
00076	152004	0	-	0	-	0	0.0560771
00077	154004	0	-	0	-	0	0.0594558
00078	156003	0	-	0	-	0	0.0492517
00079	158004	0	-	0	-	0	0.0594558
00080	160004	0	-	0	-	0	0.0457143
00081	162004	0	-	0	-	0	0.0457143
00082	164004	0	-	0	-	0	0.0552608
00083	166004	0	-	0	-	0	0.0457143
00084	168003	0	-	0	-	0	0.0486848
00085	170003	0	-	0	-	0	0.0669841
00086	172003	0	-	0	-	0	0.0535828
00087	174003	0	-	0	-	0	0.0610884
00088	176003	0	-	0	-	0	0.0570522
00089	178004	0	-	0	-	0	0.0506122
00090	180003	0	-	0	-	0	0.0506122
00091	182003	0	-	0	-	0	0.0535828
00092	184003	0	-	0	-	0	0.0492517
00093	186003	0	-	0	-	0	0.0447166
00094	188003	0	-	0	-	0	0.0372109
00095	190004	0	-	0	-	0	0.0509524
00096	192004	0	-	0	-	0	0.0577551
00097	194004	0	-	0	-	0	0.0577551
00098	196003	0	-	0	-	0	0.0552608
00099	198003	0	-	0	-	0	0.0475737
00100	200004	0	-	0	-	0	0.0577551
00101	202003	0	-	0	-	0	0.0475737
00102	204004	0	-	0	-	0	0.0372109
00103	206003	0	-	0	-	0	0.0475737
00104	208003	0	-	0	-	0	0.0567574
00105	210003	0	-	0	-	0	0.0479819
00106	212003	0	-	0	-	0	0.0479819
00107	214004	0	-	0	-	0	0.0474603
00108	216004	0	-	0	-	0	0.0479819
00109	218003	0	-	0	-	0	0.0492517
00110	220003	0	-	0	-	0	0.0535828
00111	222004	0	-	0	-	0	0.0643537
00112	224004	0	-	0	-	0	0.0609751
00113	226003	0	-	0	-	0	0.0610884
00114	228003	0	-	0	-	0	0.0669841
00115	230003	0	-	0	-	0	0.0620862
00116	232004	0	-	0	-	0	0.058322
00117	234003	0	-	0	-	0	0.0561905
00118	236003	0	-	0	-	0	0.0571882
00119	238004	0	-	0	-	0	0.0754649
00120	240003	0	-	0	-	0	0.0548526
00121	242004	0	-	0	-	0	0.0771429
00122	244003	0	-	0	-	0	0.0753515
00123	246004	0	-	0	-	0	0.076576
00124	248003	0	-	0	-	0	0.0814739
00125	250004	0	-	0	-	0	0.0680726
00126	252003	0	-	0	-	0	0.0680726
00127	254004	0	-	0	-	0	0.0513605
00128	256004	0	-	0	-	0	0.06161
00129	258004	0	-	0	-	0	0.0677324
00130	260003	0	-	0	-	0	0.0617234
00131	262004	0	-	0	-	0	0.0506122
00132	264004	0	-	0	-	0	0.0720862
00133	266003	0	-	0	-	0	0.0720862
00134	268003	0	-	0	-	0	0.0719728
00135	270004	0	-	0	-	0	0.0719728
00136	272003	0	-	0	-	0	0.0724943
00137	274003	0	-	0	-	0	0.0617234
00138	276004	0	-	0	-	0	0.0474603
00139	278003	0	-	0	-	0	0.0720862
00140	280005	0	-	0	-	0	0.0724943
00141	282004	0	-	0	-	0	0.0724943
00142	284004	0	-	0	-	0	0.0724943
00143	286003	0	-	0	-	0	0.0720862
00144	288004	0	-	0	-	0	0.0719728
00145	290004	0	-	0	-	0	0.0754649
00146	292004	0	-	0	-	0	0.0617234
00147	294003	0	-	0	-	0	0.0474603
00148	296003	0	-	0	-	0	0.0720862
00149	298003	0	-	0	-	0	0.0621315
00150	300004	0	-	0	-	0	0.0719728
00151	302003	0	-	0	-	0	0.0719728
00152	304004	0	-	0	-	0	0.0719728
00153	306004	0	-	0	-	0	0.0719728
00154	308003	0	-	0	-	0	0.0719728
00155	310003	0	-	0	-	0	0.0719728
00156	312004	0	-	0	-	0	0.0719728
00157	314004	0	-	0	-	0	0.0719728
00158	316004	0	-	0	-	0	0.0788435
00159	318004	0	-	0	-	0	0.0719728
00160	320004	0	-	0	-	0	0.0719728
