fix	elapsed_s	cum_m	route_kmh	event	chip_fill	chip_err	sign_red	dial_ink	dial_red	avg_box
6	0.000	82	52.0	START AVG-OFF SIGN-OFF HUD-OFF	0.000000	0.000000	0.000000	0.000000	0.000000	
21	14.441	297	38.9	HUD-ON	0.001314	0.000000	0.000000	0.041096	0.000000	
22	16.199	308	39.3	SIGN-ON	0.000933	0.000000	0.013932	0.039179	0.000000	
43	37.423	590	66.6	SIGN-CLEARED	0.000000	0.000000	0.000000	0.034458	0.000000	
44	38.259	609	70.8	SIGN-ON	0.000000	0.000000	0.013932	0.034458	0.000000	
128	123.951	2476	100.4	SIGN-CLEARED	0.000000	0.000000	0.000000	0.040431	0.000000	
129	124.824	2504	98.4	SIGN-ON	0.000000	0.000000	0.013932	0.055181	0.000000	
166	162.669	3664	119.2	AVG-ON	0.438952	0.000000	0.013932	0.044011	0.000000	179x104+174+245
543	546.927	11610	39.3	AVG-CLEARED	0.000000	0.000000	0.013932	0.039179	0.000000	
546	549.591	11643	38.5	AVG-ON	0.439162	0.000000	0.013932	0.039179	0.000000	138x104+194+245
804	812.653	17424	110.5	AVG-CLEARED	0.000000	0.000000	0.013932	0.043203	0.000000	
958	969.218	22356	52.5	SIGN-CLEARED	0.000000	0.000000	0.000000	0.038466	0.000000	
959	970.096	22370	31.0	SIGN-ON	0.000000	0.000000	0.013932	0.038815	0.000000	
1005	1017.108	22865	29.3	SIGN-CLEARED	0.000000	0.000000	0.000000	0.039243	0.000000	
1006	1017.953	22873	29.3	SIGN-ON	0.000000	0.000000	0.013932	0.039243	0.000000	
1013	1025.746	22953	43.5	SIGN-CLEARED	0.000000	0.000000	0.000000	0.039005	0.000000	
1017	1029.175	22999	40.4	SIGN-ON	0.000000	0.000000	0.013932	0.000000	0.457018	
1124	1138.882	23834	0.0	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	0.000000	
1124	1138.882	23834	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	0.000000	
1131	1145.563	23834	4.0	SIGN-ON	0.000000	0.000000	0.013932	0.019217	0.000000	
1131	1145.563	23834	4.0	HUD-ON	0.000000	0.000000	0.013932	0.019217	0.000000	
1372	1390.978	26095	43.2	SIGN-CLEARED	0.000000	0.000000	0.000000	0.038308	0.000000	
1465	1487.202	27284	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	0.000000	
1465	1496.841	27284	0.0	HUD-ON	0.000000	0.000000	0.000000	0.019503	0.000000	
1465	1504.773	27284	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	0.000000	
