t_s	fix	sign	ink	avg	hud	route_kmh	cum_m	lat,lon	event
9	9	0	0.0000	0	1	128	321	50.84674,4.68715	HUD-ON
11	11	1	0.1772	0	1	123	391	50.84687,4.68617	SIGN-ON
74	73	1	0.1772	1	1	124	2502	50.85331,4.65793	AVG-ON
83	81	1	0.1772	0	1	122	2774	50.85422,4.65434	AVG-CLEARED
132	129	0	0.0000	0	1	94	4300	50.85811,4.63354	SIGN-CLEARED
548	537	0	0.0000	0	0	0	15628	50.86983,4.47418	HUD-FADED
555	544	0	0.0000	0	1	20	15633	50.86984,4.47412	HUD-ON
560	549	0	0.0000	0	0	0	15655	50.86991,4.47382	HUD-FADED
569	558	0	0.0000	0	1	20	15659	50.86992,4.47377	HUD-ON
648	635	0	0.0000	0	0	0	15924	50.87069,4.47018	HUD-FADED
656	643	0	0.0000	0	1	20	15928	50.87069,4.47014	HUD-ON
661	648	0	0.0000	0	0	16	15954	50.87078,4.46979	HUD-FADED
662	649	0	0.0000	0	1	15	15958	50.87079,4.46973	HUD-ON
664	651	0	0.0000	0	0	15	15967	50.87082,4.46962	HUD-FADED
665	652	0	0.0000	0	1	16	15971	50.87084,4.46956	HUD-ON
740	725	0	0.0000	0	0	11	16346	50.87337,4.46627	HUD-FADED
741	726	0	0.0000	0	1	11	16349	50.87339,4.46625	HUD-ON
759	744	0	0.0000	0	0	0	16483	50.87447,4.46541	HUD-FADED
773	758	0	0.0000	0	1	20	16486	50.87450,4.46539	HUD-ON
779	764	0	0.0000	0	0	0	16509	50.87467,4.46523	HUD-FADED
814	798	0	0.0000	0	1	20	16513	50.87470,4.46521	HUD-ON
835	818	0	0.0000	0	0	0	16593	50.87536,4.46472	HUD-FADED
851	834	0	0.0000	0	1	20	16596	50.87538,4.46471	HUD-ON
856	839	0	0.0000	0	0	0	16618	50.87556,4.46457	HUD-FADED
871	854	0	0.0000	0	1	20	16622	50.87559,4.46454	HUD-ON
956	937	0	0.0000	0	0	0	16910	50.87796,4.46287	HUD-FADED
968	949	0	0.0000	0	1	20	16914	50.87799,4.46285	HUD-ON
984	964	0	0.0000	0	0	0	16962	50.87838,4.46257	HUD-FADED
999	979	0	0.0000	0	1	20	16968	50.87843,4.46254	HUD-ON
1004	983	0	0.0000	0	0	0	16990	50.87862,4.46241	HUD-FADED
1017	983	0	0.0000	0	1	0	16990	50.87862,4.46241	HUD-ON
1018	983	0	0.0000	0	0	0	16990	50.87862,4.46241	HUD-FADED
