elapsed_ms	fix	expected_kmh	map_rmse
1003	1	131.4	0.0338861
2003	2	130.9	0.0341587
3003	3	126.8	0.0366712
4003	4	125.3	0.0275371
5004	5	126.3	0.0256914
6003	6	127.9	0.0248763
7003	7	125.9	0.0162756
8004	8	128.9	0.010474
9003	9	127.7	0.0286706
10003	10	125.2	0.0270969
11003	11	122.9	0.0276357
12003	12	122.6	0.0315748
13003	13	123.7	0.0230256
14004	14	123.9	0.0165137
15004	15	123.5	0.0171531
16003	16	123.8	0.0231918
17004	17	122.6	0.0264131
18003	18	124.5	0.0296284
19003	19	122.9	0.027753
20004	20	123.3	0.0331559
21003	21	120.3	0.0269914
22004	22	121.5	0.0276567
23003	23	121.5	0.0341361
24004	24	125.7	0.0294527
25003	25	122.3	0.0197688
26004	25	122.3	0.0226324
27003	26	124.4	0.021304
28004	27	120.5	0.0267421
29003	28	123.3	0.00789049
30003	29	121.5	0.0127817
31004	30	123.1	0.0273945
32003	31	121.9	0.0315087
33003	32	124.7	0.0280893
34004	33	121.2	0.0264149
35003	34	122.8	0.0240466
36004	35	123.0	0.0215988
37004	36	123.5	0.022299
38003	37	121.4	0.0243954
39003	38	122.4	0.0279074
40003	39	123.6	0.0251766
41004	40	123.1	0.0339464
42004	41	122.4	0.0310562
43004	42	122.9	0.0243546
44003	43	122.1	0.0214747
45003	44	123.5	0.0219534
46003	45	123.1	0.0232978
47004	46	122.5	0.0215452
48004	47	122.6	0.0202878
49004	48	122.6	0.0208777
50003	49	122.2	0.0258233
51004	50	121.1	0.0081545
52004	51	122.4	0.0287857
53003	52	122.5	0.0340916
54004	53	122.9	0.027179
55003	54	122.0	0.027331
56003	55	120.7	0.0320793
57004	56	122.1	0.0249548
58004	57	121.6	0.0245639
59003	58	121.1	0.0243238
60004	59	121.5	0.0325726
61003	60	121.8	0.0347537
62003	61	121.2	0.0084964
63004	62	121.4	0.0287676
64003	63	123.2	0.0306122
65003	64	124.6	0.0122255
66003	65	122.3	0.0435275
67004	66	121.9	0.0626335
68003	67	123.3	0.0634301
69003	68	124.0	0.0526385
70004	69	121.3	0.0518457
71003	70	122.3	0.0540132
72003	71	122.9	0.0540269
73004	72	121.3	0.0527869
74003	73	123.7	0.0523257
75003	74	121.0	0.0523462
76004	74	121.0	0.0542465
77004	75	120.8	0.0534495
78004	76	122.6	0.0520192
79004	77	123.5	0.0507844
80004	78	122.1	0.0430282
81003	79	122.1	0.0332306
82003	80	122.3	0.0298903
83004	81	121.5	0.0278279
84004	82	122.5	0.0250353
85003	83	122.4	0.0350858
86004	84	121.4	0.0254723
87003	85	122.2	0.0227272
88003	86	122.5	0.0340959
89003	87	121.3	0.0337907
90003	88	122.4	0.0276021
91004	89	121.4	0.0246354
92003	90	123.7	0.0239074
93003	91	121.5	0.0234738
94004	92	123.1	0.0248815
95004	93	122.4	0.00873047
96003	94	122.9	0.025306
97003	95	122.2	0.0250411
98003	96	119.3	0.00859895
99003	97	123.0	0.0276076
100003	98	123.4	0.0358918
101003	99	120.7	0.03434
102003	100	120.5	0.0328926
103003	101	124.1	0.0306388
104003	102	122.5	0.0296418
105004	103	121.5	0.0270606
106004	104	121.5	0.00717187
107004	105	123.8	0.0275118
108004	106	123.1	0.0274081
109003	107	122.5	0.00664634
110004	108	122.5	0.0278211
111004	109	120.6	0.0378603
112003	110	119.8	0.0367994
113003	111	117.9	0.0345021
114003	112	116.0	0.0314001
115004	113	113.7	0.0315823
116003	114	111.7	0.0341721
117003	115	109.3	0.0340106
118003	116	105.8	0.0341371
119004	117	101.0	0.0318503
120003	118	100.8	0.0290383
121004	119	100.4	0.0276086
122004	120	97.9	0.0266035
123003	121	96.0	0.0237901
124004	122	96.8	0.0247849
125004	123	94.5	0.0231437
126003	123	94.5	0.0215007
127004	124	93.2	0.0280705
128004	125	94.5	0.0278863
129003	126	93.4	0.0346512
130003	127	92.6	0.0269668
131003	128	95.2	0.0277554
132003	129	94.5	0.0359129
133004	130	95.5	0.0346113
134003	131	95.5	0.0298158
135004	132	96.0	0.02578
136003	133	94.6	0.0221038
137004	134	97.4	0.0230078
138004	135	96.3	0.0263284
139004	136	97.0	0.0279436
140003	137	95.6	0.0370224
141004	138	95.9	0.0257796
142004	139	94.5	0.0228194
143004	140	94.7	0.0339715
144003	141	94.5	0.0335832
145004	142	92.4	0.0233794
146004	143	90.3	0.0202486
147003	144	90.9	0.0214099
148004	145	91.6	0.0227031
149003	146	91.5	0.0229056
150003	147	91.2	0.0214052
151004	148	91.7	0.0194955
152004	149	92.8	0.017054
153004	150	92.9	0.022283
154003	151	93.0	0.0231677
155004	152	93.1	0.0233589
156003	153	90.7	0.0248437
157004	154	90.3	0.0286246
158004	155	91.0	0.0270252
159003	156	90.5	0.0238173
160003	157	90.7	0.0250589
161003	158	90.5	0.0254295
162004	159	91.3	0.0346515
163004	160	91.7	0.0252566
164004	161	91.1	0.0274986
165004	162	91.5	0.038147
166003	163	89.3	0.0316271
167004	164	89.0	0.0276261
168003	165	88.4	0.0276428
169004	166	88.1	0.0279984
170004	167	86.9	0.0263899
171004	168	86.9	0.00685893
172003	169	84.9	0.0262571
173003	170	84.9	0.035891
174003	171	82.8	0.0268184
175004	172	83.1	0.0249685
176003	173	80.9	0.0324206
177003	173	80.9	0.0323424
178004	174	81.2	0.0307643
179003	175	81.2	0.0314669
180004	176	81.1	0.0327281
181003	177	77.8	0.0340548
182003	178	78.0	0.0337793
183004	179	75.4	0.0321597
184003	180	75.7	0.0342479
185004	181	72.6	0.0322132
186003	182	72.9	0.0101026
187003	183	71.0	0.0351806
188003	184	71.2	0.0479548
189003	185	69.4	0.0444743
190003	186	69.1	0.0424405
191003	187	69.2	0.0398618
192004	188	69.1	0.0372137
193003	189	69.2	0.0309881
194004	190	69.4	0.0461283
195003	191	71.4	0.0413441
196003	192	71.5	0.0404563
197004	193	71.9	0.0408426
198004	194	71.9	0.0421617
199004	195	70.7	0.0353546
200003	196	70.7	0.0312969
201003	197	71.7	0.0297841
202004	198	72.0	0.0332715
203004	199	71.0	0.0319089
204004	200	71.2	0.00683863
205004	201	71.8	0.033073
206003	202	71.9	0.0347797
207004	203	72.0	0.0115677
208003	204	71.8	0.0315432
209003	205	71.7	0.0406788
210004	206	71.5	0.0301937
211003	207	74.2	0.024185
212004	208	74.2	0.0297322
213004	209	72.9	0.0274183
214003	210	72.5	0.0297725
215004	211	74.0	0.00941482
216003	212	74.3	0.0253165
217003	213	76.8	0.026008
218004	214	76.9	0.00708961
219004	215	78.6	0.0247968
220004	216	78.5	0.0363533
221004	217	79.8	0.0338822
222003	218	79.7	0.0277495
223004	219	83.2	0.0265724
224004	220	83.2	0.0168093
225003	221	85.3	0.0218625
