frame	elapsed_ms	sign_red	sign_box	sign_ink	sign_sig	avg_blue	dial_ink
00000	1	0	-	0	-	0	0
00001	1003	0	-	0	-	0	0
00002	2003	0	-	0	-	0	0
00003	3003	0	-	0	-	0	0
00004	4003	0	-	0	-	0	0
00005	5004	0	-	0	-	0	0
00006	6003	0	-	0	-	0	0
00007	7003	0	-	0	-	0	0
00008	8004	0	-	0	-	0	0
00009	9003	0	-	0	-	0	0.0731973
00010	10003	0	-	0	-	0	0.0617234
00011	11003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0801587
00012	12003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00013	13003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00014	14004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00015	15004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00016	16003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00017	17004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00018	18003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.065102
00019	19003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00020	20004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00021	21003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0486848
00022	22004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0754649
00023	23003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0617234
00024	24004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0720862
00025	25003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00026	26004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00027	27003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00028	28004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0587528
00029	29003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0557823
00030	30003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0754649
00031	31004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0720862
00032	32003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00033	33003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00034	34004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0721995
00035	35003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0720862
00036	36004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00037	37004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00038	38003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00039	39003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0475737
00040	40003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0754649
00041	41004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00042	42004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00043	43004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00044	44003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00045	45003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0720862
00046	46003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0724943
00047	47004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00048	48004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00049	49004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0719728
00050	50003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0613832
00051	51004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0543311
