t_s	fix	sign	ink	avg	hud	route_kmh	cum_m	lat,lon	event
9	9	0	0.0000	0	1	105	265	50.86922,4.53654	HUD-ON
23	22	1	0.1772	0	1	103	640	50.86921,4.54188	SIGN-ON
462	453	0	0.0000	0	0	22	4675	50.86290,4.59825	SIGN-CLEARED+HUD-FADED
464	455	1	0.1772	0	1	25	4687	50.86287,4.59842	SIGN-ON+HUD-ON
590	579	0	0.0000	0	0	51	5673	50.86084,4.61208	SIGN-CLEARED+HUD-FADED
591	580	1	0.1772	0	1	57	5687	50.86081,4.61228	SIGN-ON+HUD-ON
624	612	0	0.0000	0	1	90	6391	50.85941,4.62206	SIGN-CLEARED
1100	1079	0	0.0000	0	0	0	19229	50.93165,4.74412	HUD-FADED
1115	1094	0	0.0000	0	1	20	19249	50.93165,4.74440	HUD-ON
1475	1441	0	0.0000	0	0	0	23494	50.90425,4.77270	HUD-FADED
