elapsed_ms	fix	expected_kmh	map_rmse
1504	1	105.6	0.0253909
3003	3	106.4	0.0314637
4503	4	106.9	0.0265025
6004	6	106.6	0.027733
7503	7	105.9	0.0159725
9003	9	105.1	0.0283486
10504	10	104.8	0.0227302
12004	12	104.8	0.0257544
13504	13	104.8	0.0262901
15004	15	104.1	0.0275001
16504	16	103.8	0.0249516
18003	18	102.3	0.0256957
19503	19	102.1	0.023787
21003	21	102.6	0.0270893
22503	22	103.3	0.0301165
24003	24	101.8	0.0288717
25503	25	101.3	0.0244213
27004	27	99.3	0.025547
28504	28	99.1	0.0263118
30004	29	99.8	0.02697
31503	31	102.1	0.0283765
33004	32	102.8	0.0295898
34503	34	103.9	0.0331942
36003	35	104.4	0.0323746
37503	37	103.1	0.0305838
39003	38	103.4	0.0303029
40504	40	102.4	0.0307423
42003	41	102.4	0.032331
43504	43	102.4	0.033072
45003	44	102.7	0.0260129
46504	46	102.7	0.025316
48004	47	102.5	0.0227647
49504	49	102.6	0.0217853
51003	50	102.6	0.0198169
52504	52	102.8	0.0227686
54003	53	102.9	0.0240781
55504	54	101.7	0.0275222
57004	56	98.9	0.0295961
58503	57	97.9	0.0278798
60004	59	96.6	0.0278652
61504	60	95.7	0.0280133
63003	62	94.0	0.0287766
64504	63	94.4	0.0279486
66004	65	92.8	0.0310163
67504	66	92.5	0.0294749
69004	68	93.0	0.0288589
70503	69	94.1	0.0287188
72004	71	92.0	0.0290798
73504	72	91.5	0.027523
75003	74	90.0	0.0270285
76504	75	87.7	0.0313954
78003	77	84.9	0.0328609
79503	78	85.2	0.0345622
81004	80	80.7	0.0303664
82503	81	73.9	0.025704
84004	82	73.9	0.0292455
85504	84	69.3	0.026676
87004	85	64.0	0.0295624
88504	87	54.5	0.0338884
90004	88	54.7	0.0352485
91503	90	46.7	0.0372879
93003	91	43.6	0.0358478
94504	93	43.4	0.0323032
96004	94	42.2	0.0318562
97503	96	42.3	0.0362761
99003	97	44.2	0.0344669
100503	99	44.1	0.0361007
102003	100	44.5	0.0333519
103503	102	44.5	0.0358193
105004	103	45.7	0.0316446
106504	105	47.1	0.038452
108003	106	47.5	0.0361603
109504	107	46.7	0.0363664
111003	109	47.0	0.0348281
112504	110	47.2	0.0371622
114003	112	47.4	0.0320608
115504	113	48.3	0.0246399
117004	115	47.0	0.0268641
118504	116	47.1	0.032497
120004	118	48.6	0.0292061
121503	119	50.0	0.0293046
123004	121	49.0	0.0327547
124504	122	49.1	0.0340841
126004	124	42.9	0.0374977
127504	125	42.6	0.0348986
129003	127	38.2	0.0354186
130503	128	37.9	0.0327262
132003	130	36.2	0.0402911
133504	131	36.3	0.0390319
135004	132	37.9	0.0376694
136504	134	37.9	0.0374398
138004	135	39.8	0.0432463
139504	137	39.8	0.029965
141003	138	36.4	0.033834
142503	140	36.3	0.0399812
144003	141	36.0	0.0124557
145504	143	36.1	0.0131829
147003	144	32.7	0.00846016
148503	146	33.0	0.0346917
150003	147	28.5	0.0335408
151504	149	28.5	0.0350897
153003	150	28.5	0.0363667
154504	152	15.6	0.0290434
156004	153	15.6	0.0311647
157504	155	15.9	0.0325392
159003	156	15.6	0.0430142
160504	158	12.0	0.0320752
162003	159	12.2	0.0290406
163503	160	12.0	0.0297419
165004	162	12.0	0.0370043
166503	163	12.2	0.0353876
168004	165	10.7	0.0354212
169503	166	10.6	0.0365577
171003	168	10.7	0.050714
172503	169	10.6	0.0303318
174004	171	10.7	0.0267896
175503	172	10.7	0.0286673
177004	174	14.6	0.0277672
178503	175	14.6	0.0390864
180004	177	14.6	0.0365623
181503	178	14.4	0.0307081
183003	180	14.4	0.0274755
184503	181	14.1	0.0281589
186003	183	14.2	0.0393463
187504	184	13.9	0.0352531
189003	185	13.9	0.0363538
190503	187	13.9	0.032681
192003	188	11.5	0.0493467
193504	190	11.1	0.0342762
195004	191	11.5	0.0324517
196504	193	11.1	0.0323678
198004	194	11.5	0.0318562
199504	196	11.2	0.0415653
201003	197	17.6	0.0046415
202503	199	17.5	0.0441398
204004	200	17.6	0.0477694
205503	202	17.5	0.0396584
207003	203	19.9	0.0414744
208504	205	20.0	0.0422896
210004	206	19.9	0.0261843
211504	208	14.8	0.0265625
213003	209	14.8	0.0208085
214504	211	15.1	0.0464045
216004	212	14.8	0.0393087
217504	213	14.8	0.0278509
219003	215	15.9	0.0389064
220503	216	16.3	0.0347709
222003	218	15.9	0.0365997
