frame	elapsed_ms	sign_red	sign_box	sign_ink	sign_sig	avg_blue	dial_ink
00000	0	0	-	0	-	0	0
00001	1504	0	-	0	-	0	0
00002	3003	0	-	0	-	0	0
00003	4503	0	-	0	-	0	0
00004	6004	0	-	0	-	0	0
00005	7503	0	-	0	-	0	0
00006	9003	0	-	0	-	0	0.0771429
00007	10504	0	-	0	-	0	0.0755782
00008	12004	0	-	0	-	0	0.0755782
00009	13504	0	-	0	-	0	0.0755782
00010	15004	0	-	0	-	0	0.0755782
00011	16504	0	-	0	-	0	0.075873
00012	18003	0	-	0	-	0	0.075873
00013	19503	0	-	0	-	0	0.0753515
00014	21003	0	-	0	-	0	0.0753515
00015	22503	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0753515
00016	24003	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0753515
00017	25503	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0754649
00018	27004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.065102
00019	28504	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0788435
00020	30004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0788435
00021	31503	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.065102
00022	33004	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.0753515
00023	34503	0.0243739	126x126+299+69	0.177154	beffffffffc0dfe1d3cddac2a396b4798162cea29a8c8b65f2ead8d7e5d6bdfeffffffbf	0	0.075873
