fix	elapsed_s	cum_m	route_kmh	event	chip_fill	chip_err	sign_red	sign_ink	sign_sig	dial_ink	dial_red	avg_box
0	0.000	0	107.4	START AVG-OFF SIGN-OFF HUD-OFF	0.000000	0.000000	0.000000	0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000	0.000000	
8	16.378	236	105.9	SIGN-ON	0.000000	0.000000	0.013932	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.053992	0.000000	
8	16.378	236	105.9	HUD-ON	0.000000	0.000000	0.013932	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.053992	0.000000	
15	23.097	440	104.1	SIGN-CLEARED	0.000000	0.000000	0.000000	0.015660	eeeeeeedbbbeebeedbdcb9bbebefdceecbce	0.000000	0.442253	
16	23.925	469	103.8	SIGN-ON	0.000000	0.000000	0.013932	0.033264	eeedeeedabbeeaeedadbb7baeaefcbeebace	0.000000	0.443409	
526	543.749	5142	33.0	AVG-ON	0.442667	0.000000	0.013932	0.042674	eeeeeeedabbeeaedcadba87adaefcbeebace	0.038308	0.000000	138x104+194+245
634	653.575	6865	69.1	SIGN-CLEARED	0.440724	0.000000	0.000000	0.040972	eeeeeeedbbbeeaedcbdbb98adaefdbeebbce	0.040431	0.000000	139x104+194+245
635	654.447	6884	71.7	SIGN-ON	0.440724	0.000000	0.013932	0.033264	eeeeeeedabbeeaeedadbb7badaefcbeebace	0.040431	0.000000	139x104+194+245
808	830.305	10941	84.2	AVG-CLEARED	0.000000	0.000000	0.013932	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.042918	0.000000	
849	872.843	12049	111.2	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.043203	0.000000	
902	926.480	13755	113.6	SIGN-ON	0.000000	0.000000	0.013906	0.042222	eeeeeeedabbeeaedcacba87ac9efcbdebace	0.043140	0.000000	
1076	1103.560	19229	0.0	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	ddddeedddeeeddeeeedeeeeeeeeeeeeeeeee	0.000000	0.000000	
1076	1103.560	19229	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	ddddeedddeeeddeeeedeeeeeeeeeeeeeeeee	0.000000	0.000000	
1093	1120.865	19229	91.8	SIGN-ON	0.000000	0.000000	0.013932	0.029201	dddddddcaaaddadddadbcabadaefcaddaabd	0.031210	0.000000	
1093	1120.865	19229	91.8	HUD-ON	0.000000	0.000000	0.013932	0.029201	dddddddcaaaddadddadbcabadaefcaddaabd	0.031210	0.000000	
1221	1250.988	20973	38.9	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.039179	0.000000	
1231	1261.439	21124	44.0	SIGN-ON	0.000000	0.000000	0.013932	0.032292	eeeeeeedabbeeadedadbb7baeaefcbeebace	0.000000	0.460187	
1236	1266.691	21190	50.1	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	eeeeeeeedddeedeeededddddedeeedeeddee	0.040906	0.000000	
1309	1340.720	21993	18.3	SIGN-ON	0.000000	0.000000	0.013932	0.033056	eeeeeeedabbeeadddadbb8baeaefcbeebace	0.035409	0.000000	
1332	1364.952	22223	52.4	SIGN-CLEARED	0.000000	0.000000	0.000000	0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.038530	0.000000	
1441	1476.580	23494	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000	0.000000	
1441	1498.790	23494	0.0	HUD-ON	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.019217	0.000000	
1441	1505.717	23494	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.000000	0.000000	
1441	1514.414	23494	0.0	HUD-ON	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.019217	0.000000	
1441	1520.530	23494	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.000000	0.000000	
1441	1523.972	23494	0.0	HUD-ON	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.019217	0.000000	
1441	1527.384	23494	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.000000	0.000000	
1441	1532.452	23494	0.0	HUD-ON	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.019217	0.000000	
1441	1535.868	23494	0.0	HUD-CLEARED	0.000000	0.000000	0.000000	0.000000	dddddddddddddddddddddddddddddddddddd	0.000000	0.000000	
