frame	fix	elapsed_s	route_kmh	rmse	identical	in_window
1	0	0.884	107.4	0.327977	0	0
2	0	1.781	107.4	0.000000	1	0
3	0	2.661	107.4	0.000000	1	0
4	0	3.506	107.4	0.000000	1	0
5	0	4.414	107.4	0.051967	0	0
6	0	5.255	107.4	0.171438	0	0
7	0	6.099	107.4	0.201443	0	0
8	0	7.033	107.4	0.169069	0	0
9	0	8.092	107.4	11.669667	0	1
10	1	8.849	105.6	1.637626	0	1
11	2	9.605	104.8	7.733741	0	1
12	3	10.384	106.4	7.522185	0	1
13	3	11.285	106.4	3.885465	0	1
14	4	12.153	106.9	3.728318	0	1
15	5	12.986	106.4	3.292229	0	1
16	6	13.848	106.6	1.508859	0	1
17	7	14.705	105.9	0.839790	0	1
18	8	15.494	105.9	0.841417	0	1
19	8	16.378	105.9	4.317887	0	1
20	9	17.227	105.1	2.823301	0	1
21	10	18.056	104.8	2.528416	0	1
22	11	18.882	104.8	2.887735	0	1
23	12	19.724	104.8	2.719651	0	1
24	13	20.599	104.8	3.156411	0	1
25	13	21.432	104.8	3.349665	0	1
26	14	22.257	104.3	3.347183	0	1
27	15	23.097	104.1	2.890430	0	1
28	16	23.925	103.8	3.524749	0	1
29	17	24.761	103.6	2.580515	0	1
30	17	25.650	103.6	3.375777	0	1
31	18	26.466	102.3	3.574813	0	1
32	19	27.283	102.1	2.620162	0	1
33	20	28.117	102.3	3.248413	0	1
34	21	28.943	102.6	3.872399	0	1
35	22	29.772	103.3	3.165393	0	1
36	22	30.668	103.3	3.479558	0	1
37	23	31.480	102.8	2.799229	0	1
38	24	32.326	101.8	2.849417	0	1
39	25	33.152	101.3	2.895183	0	1
40	26	33.995	100.6	3.001257	0	1
41	27	34.859	99.3	3.118121	0	1
42	27	35.772	99.3	4.159354	0	1
43	28	36.612	99.1	4.295108	0	1
44	29	37.484	99.8	4.008067	0	1
45	30	38.367	101.1	4.446646	0	1
46	31	39.202	102.1	4.338094	0	1
47	32	40.058	102.8	3.207746	0	1
48	33	40.948	103.4	2.926115	0	1
49	33	41.821	103.4	3.799726	0	1
50	34	42.650	103.9	3.325738	0	1
51	35	43.547	104.4	2.773450	0	1
52	36	44.409	104.1	2.583605	0	1
53	37	45.269	103.1	2.965116	0	1
54	38	46.134	103.4	2.538515	0	1
55	38	46.989	103.4	2.590329	0	1
56	39	47.845	102.9	2.687139	0	1
57	40	48.709	102.4	2.485903	0	1
58	41	49.599	102.4	2.839145	0	1
59	42	50.478	102.4	3.297131	0	1
60	43	51.366	102.4	3.214916	0	1
61	44	52.229	102.7	3.531564	0	1
62	44	53.092	102.7	3.322684	0	1
63	45	53.973	103.2	3.375475	0	1
64	46	54.833	102.7	3.191506	0	1
65	47	55.704	102.5	3.286177	0	1
66	48	56.591	103.0	2.969342	0	1
67	49	57.481	102.6	3.241036	0	1
68	50	58.333	102.6	2.937934	0	1
69	50	59.229	102.6	2.595071	0	1
70	51	60.111	102.6	2.502545	0	1
71	52	61.014	102.8	2.310267	0	1
72	53	61.925	102.9	2.882697	0	1
73	54	62.797	101.7	2.801396	0	1
74	55	63.665	100.1	2.319305	0	1
75	56	64.539	98.9	2.669605	0	1
76	57	65.420	97.9	2.090644	0	1
77	57	66.314	97.9	1.818292	0	1
78	58	67.173	97.2	1.879087	0	1
79	59	68.045	96.6	1.964230	0	1
80	60	68.923	95.7	2.015451	0	1
81	61	69.769	94.5	2.797995	0	1
82	62	70.654	94.0	1.899249	0	1
83	63	71.559	94.4	1.834337	0	1
84	63	72.452	94.4	1.989970	0	1
85	64	73.341	93.5	2.921695	0	1
86	65	74.253	92.8	2.443088	0	1
87	66	75.109	92.5	2.781487	0	1
88	67	76.025	92.5	3.220409	0	1
89	68	76.892	93.0	3.414628	0	1
90	69	77.774	94.1	2.651234	0	1
91	70	78.669	92.8	2.189044	0	1
92	70	79.547	92.8	2.701179	0	1
93	71	80.447	92.0	2.861987	0	1
94	72	81.353	91.5	2.935055	0	1
95	73	82.241	90.3	2.947046	0	1
96	74	83.106	90.0	3.276890	0	1
97	75	83.984	87.7	4.471771	0	1
98	76	84.854	87.5	4.399269	0	1
99	77	85.753	84.9	4.274325	0	1
100	77	86.678	84.9	4.208690	0	1
101	78	87.558	85.2	3.466151	0	1
102	79	88.432	80.4	3.344332	0	1
103	80	89.345	80.7	3.586210	0	1
104	81	90.208	73.9	3.114182	0	1
105	82	91.055	73.9	5.224841	0	1
106	83	91.951	69.3	5.870280	0	1
107	83	92.862	69.3	6.184375	0	1
108	84	93.758	69.3	4.462361	0	1
109	85	94.686	64.0	4.236055	0	1
110	86	95.592	63.9	3.894859	0	1
111	87	96.464	54.5	3.770269	0	1
112	88	97.383	54.7	4.662787	0	1
113	89	98.281	46.7	5.062575	0	1
114	90	99.158	46.7	8.848410	0	1
115	91	100.013	43.6	8.310613	0	1
116	91	100.909	43.6	7.529299	0	1
117	92	101.804	43.4	6.414138	0	1
118	93	102.671	43.4	5.361834	0	1
119	94	103.556	42.2	4.995340	0	1
120	95	104.431	42.3	6.247898	0	1
121	96	105.336	42.3	6.102692	0	1
122	97	106.193	44.2	5.155273	0	1
