frame	wall_ms	elapsed_s	grab_s	sign_red	sign_box	sign_ink	sign_sig	avg_blue	avg_box	avg_fill	avg_errfill	avg_errink	chip_fill	chip_err	dial_ink	dial_red
0	1786606927085	0.000	0.880	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	1786606927969	0.884	0.892	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	1786606928866	1.781	0.875	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	1786606929746	2.661	0.841	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	1786606930591	3.506	0.904	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	1786606931500	4.414	0.836	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	1786606932340	5.255	0.838	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	1786606933184	6.099	0.929	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	1786606934118	7.033	1.055	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	1786606935177	8.092	0.752	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	1786606935934	8.849	0.751	0.000000		0.000000	deeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000576	0.000000	0.000000	0.001657	0.000000	0.000000	0.000000
11	1786606936691	9.605	0.774	0.000000		0.000000	eeeeeeeeeeedeeeedeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	1786606937469	10.384	0.897	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	1786606938371	11.285	0.863	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	1786606939238	12.153	0.829	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	1786606940072	12.986	0.856	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	1786606940933	13.848	0.853	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	1786606941790	14.705	0.784	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	1786606942579	15.494	0.880	0.000000		0.000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	1786606943463	16.378	0.844	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.053992	0.000000
20	1786606944313	17.227	0.824	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.053992	0.000000
21	1786606945141	18.056	0.822	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
22	1786606945968	18.882	0.836	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
23	1786606946810	19.724	0.870	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
24	1786606947685	20.599	0.828	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
25	1786606948518	21.432	0.820	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
26	1786606949343	22.257	0.834	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052899	0.000000
27	1786606950183	23.097	0.822	0.000000		0.015660	eeeeeeedbbbeebeedbdcb9bbebefdceecbce	0.000000		0.000000	0.090921	0.011813	0.000000	0.000000	0.000000	0.442253
28	1786606951010	23.925	0.831	0.013932	126x126+379+229	0.033264	eeedeeedabbeeaeedadbb7baeaefcbeebace	0.000000		0.000000	0.091159	0.011777	0.000000	0.000000	0.000000	0.443409
29	1786606951846	24.761	0.885	0.013932	126x126+379+229	0.029201	eeddeeedabbeeadddadbcabaeaefcbeebace	0.000000		0.000000	0.091159	0.011777	0.000000	0.000000	0.000000	0.443409
30	1786606952736	25.650	0.810	0.013932	126x126+379+229	0.029201	eedeeeedabbeeadddadbcabaeaefcbeebace	0.000000		0.000000	0.091159	0.011777	0.000000	0.000000	0.000000	0.443409
31	1786606953551	26.466	0.812	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052741	0.000000
32	1786606954368	27.283	0.828	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052804	0.000000
33	1786606955202	28.117	0.822	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052804	0.000000
34	1786606956028	28.943	0.825	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052741	0.000000
35	1786606956858	29.772	0.889	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.052741	0.000000
36	1786606957753	30.668	0.807	0.013932	126x126+379+229	0.042674	eeeeeeedabbeeaedcadba87aeaefcbeebace	0.000000		0.000000	0.000052	0.000000	0.000000	0.000000	0.053089	0.000000
