elapsed_ms	fix	expected_kmh	map_rmse
1504	1	105.6	0.0392119
3004	3	106.4	0.0308106
4504	4	106.9	0.0263006
6003	6	106.6	0.0265605
7504	7	105.9	0.0159812
9003	9	105.1	0.0275073
10504	10	104.8	0.0218314
12004	12	104.8	0.0248201
13504	13	104.8	0.0261495
15003	15	104.1	0.0274233
16505	16	103.8	0.0244942
18003	18	102.3	0.0252554
19504	19	102.1	0.0246014
21004	21	102.6	0.0276074
22503	22	103.3	0.0297391
24004	24	101.8	0.0281551
25503	25	101.3	0.0236324
27003	27	99.3	0.0249582
28504	28	99.1	0.0257739
30003	29	99.8	0.0265301
31504	31	102.1	0.0277986
33003	32	102.8	0.0291307
34503	34	103.9	0.0327729
36004	35	104.4	0.0321146
37503	37	103.1	0.0304564
39004	38	103.4	0.030086
40503	40	102.4	0.0307165
42004	41	102.4	0.0321139
43504	43	102.4	0.0329662
45003	44	102.7	0.025572
46503	46	102.7	0.0251025
48003	47	102.5	0.0221363
49503	49	102.6	0.0214959
51003	50	102.6	0.0200439
52504	52	102.8	0.0225795
54003	53	102.9	0.0231793
55504	55	100.1	0.0268785
57003	56	98.9	0.0285793
58503	57	97.9	0.0258347
60004	59	96.6	0.026194
61504	60	95.7	0.026414
63003	62	94.0	0.0270252
64503	63	94.4	0.0270624
66003	65	92.8	0.0301833
67504	66	92.5	0.0282313
69004	68	93.0	0.0279586
70503	69	94.1	0.029727
72004	71	92.0	0.0298824
73504	72	91.5	0.0272317
75003	74	90.0	0.0268328
76504	75	87.7	0.0312441
78003	77	84.9	0.0325472
79503	78	85.2	0.033573
81003	80	80.7	0.0292995
82503	81	73.9	0.0237382
84004	83	69.3	0.0285632
85504	84	69.3	0.0261434
87003	85	64.0	0.0285264
88504	87	54.5	0.0327731
90003	88	54.7	0.0341002
91503	90	46.7	0.0360884
93004	91	43.6	0.0363914
94503	93	43.4	0.0331055
96004	94	42.2	0.0337576
97504	96	42.3	0.0373559
99003	97	44.2	0.0323668
100504	99	44.1	0.0349581
102004	100	44.5	0.0336327
103504	102	44.5	0.0357125
105003	103	45.7	0.0322522
106503	105	47.1	0.0387836
108003	106	47.5	0.0369819
109504	108	46.9	0.0355739
111003	109	47.0	0.0361897
112503	111	47.6	0.0373577
114003	112	47.4	0.0328614
115504	113	48.3	0.0290705
117003	115	47.0	0.0317578
118504	116	47.1	0.0307262
120003	118	48.6	0.0283603
121503	119	50.0	0.0295269
123003	121	49.0	0.0334719
124503	122	49.1	0.0309195
126003	124	42.9	0.0348601
127503	125	42.6	0.0357863
129003	127	38.2	0.0363818
130503	128	37.9	0.0340354
132004	130	36.2	0.0331874
133503	131	36.3	0.0338591
135003	133	37.8	0.0323807
136504	134	37.9	0.0335863
138004	136	39.7	0.0319343
139504	137	39.8	0.0315454
141004	139	36.3	0.0341698
142504	140	36.3	0.0355547
144003	141	36.0	0.0334198
145503	143	36.1	0.0323441
147003	144	32.7	0.0269944
148503	146	33.0	0.0302696
150004	147	28.5	0.027754
151504	149	28.5	0.035436
153004	150	28.5	0.0301249
154504	152	15.6	0.0277813
156003	153	15.6	0.0275919
157504	155	15.9	0.0247826
159003	156	15.6	0.0295164
160503	158	12.0	0.0323149
162003	159	12.2	0.0294816
163504	161	11.9	0.0302283
165003	162	12.0	0.0319562
166503	164	12.0	0.0282085
168003	165	10.7	0.0235761
169504	167	10.7	0.036988
171003	168	10.7	0.0347423
172504	169	10.6	0.0303822
174003	171	10.7	0.027497
175504	172	10.7	0.0291577
177003	174	14.6	0.0274594
178503	175	14.6	0.0391114
180003	177	14.6	0.0370824
181503	178	14.4	0.0305219
183003	180	14.4	0.0279669
184504	181	14.1	0.0289035
186004	183	14.2	0.0307174
187503	184	13.9	0.036169
189004	186	14.2	0.033945
190503	187	13.9	0.0361558
192004	189	11.2	0.0326378
193504	190	11.1	0.0333233
195004	192	11.2	0.0322508
196504	193	11.1	0.0319692
198003	195	11.2	0.0321526
199503	196	11.2	0.0331615
201003	197	17.6	0.0313377
202503	199	17.5	0.0360689
204003	200	17.6	0.0368992
205503	202	17.5	0.0390675
207004	203	19.9	0.0401362
208503	205	20.0	0.0396636
210004	206	19.9	0.0372373
211504	208	14.8	0.0372476
213004	209	14.8	0.0384659
214504	211	15.1	0.0331902
216004	212	14.8	0.0331703
217504	214	14.8	0.0271789
219004	215	15.9	0.0281643
220504	217	15.9	0.0290077
222003	218	15.9	0.0324944
223504	220	15.9	0.0313792
225004	221	15.4	0.0328568
226503	222	15.4	0.0372624
228004	224	15.4	0.0361138
229503	225	15.4	0.0327253
231004	227	19.0	0.030536
232503	228	19.0	0.0341757
234004	230	19.0	0.0363417
235504	231	18.9	0.0352307
237004	233	22.7	0.0376251
238503	234	22.8	0.0415361
240004	236	15.7	0.0394432
241504	237	15.5	0.036206
243003	239	15.4	0.0368777
